run_date,total_fetched,fresh,dedup_skip,heuristic_evaluated,heuristic_passed,gemini_scored,top_n,duration_s,source_failures,partial_reason
2026-07-11,1631,655,976,655,416,22,7,1201.3,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1201s > budget 1200s)
2026-07-12,1639,643,996,643,423,22,7,1245.37,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1245s > budget 1200s)
2026-07-13,1635,585,1050,585,366,22,7,1301.06,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1301s > budget 1200s)
2026-07-14,1641,616,1025,616,368,21,5,1301.58,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1302s > budget 1200s)
2026-07-15,1637,662,975,662,402,22,3,1340.31,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1340s > budget 1200s)
2026-07-16,1637,660,977,660,400,21,5,1368.6,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1369s > budget 1200s)
2026-07-17,1665,675,990,675,407,24,2,1336.79,greenhouse;lever;ashby,time_budget_exceeded after 29/40 LLM scores (elapsed 1337s > budget 1200s)
2026-07-18,1662,635,1027,635,403,19,6,1205.07,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1205s > budget 1200s)
2026-07-19,1663,618,1045,618,421,22,7,1264.84,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1265s > budget 1200s)
2026-07-20,1665,589,1076,589,408,20,6,1200.23,greenhouse;lever;ashby,time_budget_exceeded after 25/40 LLM scores (elapsed 1200s > budget 1200s)
2026-07-21,1671,628,1043,628,390,22,7,1231.39,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1231s > budget 1200s)
2026-07-22,1670,637,1033,637,414,20,7,1374.7,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1375s > budget 1200s)
2026-07-23,1670,640,1030,640,421,22,7,1203.05,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1203s > budget 1200s)
